5,26,26
6,73,99
7,50,149
8,53,202
9,28,230
10,105,335
11,37,372
12,35,407
13,35,442
14,12,454
15,29,483
16,33,516
17,23,539
18,16,555
19,25,580
20,44,624
21,24,648
22,18,666
23,18,684
24,11,695
25,21,716
26,41,757
27,13,770
28,9,779
29,11,790
30,26,816
31,27,843
32,13,856
33,14,870
34,14,884
35,12,896
36,12,908
37,7,915
38,5,920
39,6,926
40,19,945
41,25,970
42,15,985
43,11,996
44,8,1004
45,10,1014
46,11,1025
47,7,1032
48,5,1037
49,4,1041
50,18,1059
51,17,1076
52,4,1080
53,7,1087
54,5,1092
55,5,1097
56,15,1112
57,7,1119
58,5,1124
59,1,1125
60,2,1127
61,13,1140
62,8,1148
63,3,1151
64,6,1157
65,5,1162
66,14,1176
67,5,1181
68,5,1186
69,5,1191
70,5,1196
71,10,1206
72,4,1210
73,4,1214
74,1,1215
75,4,1219
76,13,1232
77,5,1237
78,3,1240
79,2,1242
80,7,1249
81,10,1259
82,1,1260
83,5,1265
85,3,1268
86,3,1271
87,3,1274
88,2,1276
89,5,1281
90,2,1283
91,6,1289
92,2,1291
93,3,1294
94,1,1295
95,1,1296
96,2,1298
97,1,1299
98,2,1301
99,5,1306
100,11,1317
101,1,1318
103,6,1324
104,5,1329
105,1,1330
106,3,1333
107,4,1337
108,1,1338
109,1,1339
110,1,1340
111,1,1341
113,2,1343
114,3,1346
115,2,1348
116,1,1349
117,2,1351
118,1,1352
123,4,1356
124,2,1358
125,1,1359
126,2,1361
127,1,1362
128,7,1369
129,2,1371
130,2,1373
131,2,1375
132,1,1376
133,6,1382
134,2,1384
135,3,1387
137,1,1388
138,3,1391
139,2,1393
140,1,1394
141,1,1395
143,2,1397
146,1,1398
148,2,1400
149,1,1401
152,1,1402
153,7,1409
154,1,1410
155,1,1411
158,1,1412
159,1,1413
160,1,1414
163,2,1416
164,2,1418
166,1,1419
169,3,1422
170,1,1423
173,1,1424
174,2,1426
175,1,1427
177,2,1429
178,5,1434
179,1,1435
180,1,1436
182,1,1437
183,1,1438
188,1,1439
189,2,1441
191,1,1442
194,2,1444
200,3,1447
202,1,1448
203,2,1450
206,1,1451
213,1,1452
215,1,1453
222,1,1454
225,2,1456
228,1,1457
233,1,1458
235,1,1459
237,1,1460
244,1,1461
245,1,1462
250,2,1464
255,1,1465
257,1,1466
260,1,1467
263,1,1468
270,1,1469
275,1,1470
280,1,1471
281,2,1473
285,1,1474
295,1,1475