# rounded amount, occurences, accumulated occurences up to this amount
0,37,37
1,79,116
2,49,165
3,37,202
4,23,225
5,21,246
6,21,267
7,12,279
8,10,289
9,12,301
10,15,316
11,20,336
12,3,339
13,17,356
14,8,364
15,7,371
16,12,383
17,7,390
18,11,401
19,9,410
20,9,419
21,7,426
22,5,431
23,4,435
24,3,438
25,6,444
26,5,449
27,4,453
28,2,455
29,1,456
30,3,459
31,0,459
32,9,468
33,3,471
34,7,478
35,0,478
36,2,480
37,2,482
38,3,485
39,6,491
40,3,494
41,2,496
42,1,497
43,6,503
44,2,505
45,2,507
46,3,510
47,2,512
48,0,512
49,2,514
50,5,519
51,0,519
52,0,519
53,4,523
54,2,525
55,1,526
56,2,528
57,0,528
58,1,529
59,1,530
60,4,534
61,2,536
62,0,536
63,1,537
64,1,538
65,6,544
66,2,546
67,3,549
68,1,550
69,2,552
70,1,553
71,0,553
72,2,555
73,2,557
74,0,557
75,3,560
76,1,561
77,3,564
78,2,566
79,3,569
80,1,570
81,1,571
82,0,571
83,0,571
84,0,571
85,1,572
86,2,574
87,0,574
88,2,576
89,1,577
90,1,578
91,1,579
92,1,580
93,1,581
94,3,584
95,0,584
96,1,585
97,1,586
98,2,588
99,2,590
100,0,590